Time step, X values, Set 1 Solution, Set 1 Analytical, Set 1 Error, Set 2 Solution, Set 2 Analytical, Set 2 Error
5, -50,0,0,0,0,0,0
5, -49.7494,0,0,0,0,0,0
5, -49.4987,0,0,0,0,0,0
5, -49.2481,0,0,0,0,0,0
5, -48.9975,0,0,0,0,0,0
5, -48.7469,0,0,0,0,0,0
5, -48.4962,0,0,0,0,0,0
5, -48.2456,0,0,0,0,0,0
5, -47.995,0,0,0,0,0,0
5, -47.7444,0,0,0,0,0,0
5, -47.4937,0,0,0,0,0,0
5, -47.2431,0,0,0,0,0,0
5, -46.9925,0,0,0,0,0,0
5, -46.7419,0,0,0,0,0,0
5, -46.4912,0,0,0,0,0,0
5, -46.2406,0,0,0,0,0,0
5, -45.99,0,0,0,0,0,0
5, -45.7393,0,0,0,0,0,0
5, -45.4887,0,0,0,0,0,0
5, -45.2381,0,0,0,0,0,0
5, -44.9875,0,0,0,0,0,0
5, -44.7368,0,0,0,0,0,0
5, -44.4862,0,0,0,0,0,0
5, -44.2356,0,0,0,0,0,0
5, -43.985,0,0,0,0,0,0
5, -43.7343,0,0,0,0,0,0
5, -43.4837,0,0,0,0,0,0
5, -43.2331,0,0,0,0,0,0
5, -42.9825,0,0,0,0,0,0
5, -42.7318,0,0,0,0,0,0
5, -42.4812,0,0,0,0,0,0
5, -42.2306,0,0,0,0,0,0
5, -41.9799,0,0,0,0,0,0
5, -41.7293,0,0,0,0,0,0
5, -41.4787,0,0,0,0,0,0
5, -41.2281,0,0,0,0,0,0
5, -40.9774,0,0,0,0,0,0
5, -40.7268,0,0,0,0,0,0
5, -40.4762,0,0,0,0,0,0
5, -40.2256,0,0,0,0,0,0
5, -39.9749,0,0,0,0,0,0
5, -39.7243,0,0,0,0,0,0
5, -39.4737,0,0,0,0,0,0
5, -39.2231,0,0,0,0,0,0
5, -38.9724,0,0,0,0,0,0
5, -38.7218,0,0,0,0,0,0
5, -38.4712,0,0,0,0,0,0
5, -38.2206,0,0,0,0,0,0
5, -37.9699,0,0,0,0,0,0
5, -37.7193,0,0,0,0,0,0
5, -37.4687,0,0,0,0,0,0
5, -37.218,0,0,0,0,0,0
5, -36.9674,0,0,0,0,0,0
5, -36.7168,0,0,0,0,0,0
5, -36.4662,0,0,0,0,0,0
5, -36.2155,0,0,0,0,0,0
5, -35.9649,0,0,0,0,0,0
5, -35.7143,0,0,0,0,0,0
5, -35.4637,0,0,0,0,0,0
5, -35.213,0,0,0,0,0,0
5, -34.9624,0,0,0,0,0,0
5, -34.7118,0,0,0,0,0,0
5, -34.4612,0,0,0,0,0,0
5, -34.2105,0,0,0,0,0,0
5, -33.9599,0,0,0,0,0,0
5, -33.7093,0,0,0,0,0,0
5, -33.4586,0,0,0,0,0,0
5, -33.208,0,0,0,0,0,0
5, -32.9574,0,0,0,0,0,0
5, -32.7068,0,0,0,0,0,0
5, -32.4561,0,0,0,0,0,0
5, -32.2055,0,0,0,0,0,0
5, -31.9549,0,0,0,0,0,0
5, -31.7043,0,0,0,0,0,0
5, -31.4536,0,0,0,0,0,0
5, -31.203,0,0,0,0,0,0
5, -30.9524,0,0,0,0,0,0
5, -30.7018,0,0,0,0,0,0
5, -30.4511,0,0,0,0,0,0
5, -30.2005,0,0,0,0,0,0
5, -29.9499,0,0,0,0,0,0
5, -29.6992,0,0,0,0,0,0
5, -29.4486,0,0,0,0,0,0
5, -29.198,0,0,0,0,0,0
5, -28.9474,0,0,0,0,0,0
5, -28.6967,0,0,0,0,0,0
5, -28.4461,0,0,0,0,0,0
5, -28.1955,0,0,0,0,0,0
5, -27.9449,0,0,0,0,0,0
5, -27.6942,0,0,0,0,0,0
5, -27.4436,0,0,0,0,0,0
5, -27.193,0,0,0,0,0,0
5, -26.9424,0,0,0,0,0,0
5, -26.6917,0,0,0,0,0,0
5, -26.4411,0,0,0,0,0,0
5, -26.1905,0,0,0,0,0,0
5, -25.9398,0,0,0,0,0,0
5, -25.6892,0,0,0,0,0,0
5, -25.4386,0,0,0,0,0,0
5, -25.188,0,0,0,0,0,0
5, -24.9373,0,0,0,0,0,0
5, -24.6867,0,0,0,0,0,0
5, -24.4361,0,0,0,0,0,0
5, -24.1855,0,0,0,0,0,0
5, -23.9348,0,0,0,-2.11954e-321,2.56914e-322,-2.37646e-321
5, -23.6842,0,0,0,-1.73581e-316,2.10409e-317,-1.94622e-316
5, -23.4336,0,0,0,-1.30216e-311,1.57843e-312,-1.46e-311
5, -23.183,0,0,0,-8.95377e-307,1.08535e-307,-1.00391e-306
5, -22.9323,0,0,0,-5.64328e-302,6.84062e-303,-6.32734e-302
5, -22.6817,0,0,0,-3.26016e-297,3.95188e-298,-3.65535e-297
5, -22.4311,0,0,0,-1.72635e-292,2.09264e-293,-1.93562e-292
5, -22.1805,0,0,0,-8.37918e-288,1.01571e-288,-9.39489e-288
5, -21.9298,0,0,0,-3.72783e-283,4.51881e-284,-4.17971e-283
5, -21.6792,0,0,0,-1.52017e-278,1.84273e-279,-1.70445e-278
5, -21.4286,0,0,0,-5.68215e-274,6.88784e-275,-6.37094e-274
5, -21.1779,0,0,0,-1.94677e-269,2.35986e-270,-2.18276e-269
5, -20.9273,0,0,0,-6.11363e-265,7.41092e-266,-6.85472e-265
5, -20.6767,0,0,0,-1.75981e-260,2.13324e-261,-1.97313e-260
5, -20.4261,0,0,0,-4.64317e-256,5.62847e-257,-5.20602e-256
5, -20.1754,0,0,0,-1.12291e-251,1.3612e-252,-1.25903e-251
5, -19.9248,0,0,0,-2.4892e-247,3.01743e-248,-2.79094e-247
5, -19.6742,0,0,0,-5.05773e-243,6.13106e-244,-5.67083e-243
5, -19.4236,0,0,0,-9.41962e-239,1.14187e-239,-1.05615e-238
5, -19.1729,0,0,0,-1.60803e-234,1.94929e-235,-1.80296e-234
5, -18.9223,0,0,0,-2.51615e-230,3.05016e-231,-2.82117e-230
5, -18.6717,0,0,0,-3.6088e-226,4.37471e-227,-4.04627e-226
5, -18.4211,0,0,0,-4.74428e-222,5.7512e-223,-5.3194e-222
5, -18.1704,0,0,0,-5.71689e-218,6.93028e-219,-6.40992e-218
5, -17.9198,0,0,0,-6.3144e-214,7.65464e-215,-7.07987e-214
5, -17.6692,0,0,0,-6.39274e-210,7.74964e-211,-7.1677e-210
5, -17.4185,0,0,0,-5.93231e-206,7.19152e-207,-6.65147e-206
5, -17.1679,0,0,0,-5.04596e-202,6.11705e-203,-5.65766e-202
5, -16.9173,0,0,0,-3.9341e-198,4.76921e-199,-4.41102e-198
5, -16.6667,0,0,0,-2.81144e-194,3.40826e-195,-3.15227e-194
5, -16.416,0,0,0,-1.8416e-190,2.23255e-191,-2.06486e-190
5, -16.1654,0,0,0,-1.10572e-186,1.34045e-187,-1.23977e-186
5, -15.9148,0,0,0,-6.08522e-183,7.3771e-184,-6.82293e-183
5, -15.6642,0,0,0,-3.06966e-179,3.72136e-180,-3.4418e-179
5, -15.4135,0,0,0,-1.41934e-175,1.72068e-176,-1.59141e-175
5, -15.1629,0,0,0,-6.01541e-172,7.29257e-173,-6.74467e-172
5, -14.9123,0,0,0,-2.33683e-168,2.83298e-169,-2.62012e-168
5, -14.6617,0,0,0,-8.3209e-165,1.00876e-165,-9.32966e-165
5, -14.411,0,0,0,-2.71579e-161,3.29243e-162,-3.04503e-161
5, -14.1604,0,0,0,-8.12466e-158,9.84979e-159,-9.10964e-158
5, -13.9098,0,0,0,-2.2279e-154,2.70097e-155,-2.498e-154
5, -13.6591,0,0,0,-5.59977e-151,6.78883e-152,-6.27866e-151
5, -13.4085,0,0,0,-1.29011e-147,1.56406e-148,-1.44652e-147
5, -13.1579,0,0,0,-2.72437e-144,3.30287e-145,-3.05466e-144
5, -12.9073,0,0,0,-5.27338e-141,6.39314e-142,-5.91269e-141
5, -12.6566,0,0,0,-9.35608e-138,1.13428e-138,-1.04904e-137
5, -12.406,0,0,0,-1.52153e-134,1.84462e-135,-1.706e-134
5, -12.1554,0,0,0,-2.26805e-131,2.74964e-132,-2.54301e-131
5, -11.9048,0,0,0,-3.09889e-128,3.75688e-129,-3.47458e-128
5, -11.6541,0,0,0,-3.881e-125,4.70502e-126,-4.3515e-125
5, -11.4035,0,0,0,-4.45517e-122,5.40105e-123,-4.99528e-122
5, -11.1529,0,0,0,-4.68779e-119,5.68299e-120,-5.25609e-119
5, -10.9023,0,0,0,-4.52122e-116,5.48099e-117,-5.06932e-116
5, -10.6516,0,0,0,-3.99693e-113,4.84532e-114,-4.48146e-113
5, -10.401,0,0,0,-3.23878e-110,3.92617e-111,-3.6314e-110
5, -10.1504,0,0,0,-2.40558e-107,2.91607e-108,-2.69719e-107
5, -9.89975,0,0,0,-1.63774e-104,1.98522e-105,-1.83626e-104
5, -9.64912,0,0,0,-1.022e-101,1.2388e-102,-1.14588e-101
5, -9.3985,0,0,0,-5.84579e-99,7.08562e-100,-6.55435e-99
5, -9.14787,0,0,0,-3.06493e-96,3.7148e-97,-3.43641e-96
5, -8.89724,0,0,0,-1.47293e-93,1.78516e-94,-1.65145e-93
5, -8.64662,0,0,0,-6.4883e-91,7.86321e-92,-7.27462e-91
5, -8.39599,0,0,0,-2.61978e-88,3.17472e-89,-2.93725e-88
5, -8.14536,0,0,0,-9.69583e-86,1.17488e-86,-1.08707e-85
5, -7.89474,0,0,0,-3.28921e-83,3.98532e-84,-3.68774e-83
5, -7.64411,0,0,0,-1.02279e-80,1.23913e-81,-1.1467e-80
5, -7.39348,0,0,0,-2.9152e-78,3.53143e-79,-3.26834e-78
5, -7.14286,0,0,0,-7.61621e-76,9.22504e-77,-8.53871e-76
5, -6.89223,0,0,0,-1.82389e-73,2.20886e-74,-2.04477e-73
5, -6.6416,0,0,0,-4.00357e-71,4.84786e-72,-4.48835e-71
5, -6.39098,0,0,0,-8.0554e-69,9.75248e-70,-9.03065e-69
5, -6.14035,0,0,0,-1.48566e-66,1.7983e-67,-1.66549e-66
5, -5.88972,0,0,0,-2.51155e-64,3.03942e-65,-2.81549e-64
5, -5.6391,0,0,0,-3.89187e-62,4.70872e-63,-4.36274e-62
5, -5.38847,0,0,0,-5.52802e-60,6.68648e-61,-6.19667e-60
5, -5.13784,0,0,0,-7.19742e-58,8.7031e-59,-8.06773e-58
5, -4.88722,0,0,0,-8.58977e-56,1.03832e-56,-9.62809e-56
5, -4.63659,0,0,0,-9.3969e-54,1.13547e-54,-1.05324e-53
5, -4.38596,0,0,0,-9.42297e-52,1.13815e-52,-1.05611e-51
5, -4.13534,0,0,0,-8.66151e-50,1.04569e-50,-9.7072e-50
5, -3.88471,0,0,0,-7.29799e-48,8.80629e-49,-8.17862e-48
5, -3.63409,0,0,0,-5.63663e-46,6.79773e-47,-6.31641e-46
5, -3.38346,0,0,0,-3.99066e-44,4.8097e-45,-4.47163e-44
5, -3.13283,0,0,0,-2.58989e-42,3.11927e-43,-2.90182e-42
