Time step, X values, Set 1 Solution, Set 1 Analytical, Set 1 Error, Set 2 Solution, Set 2 Analytical, Set 2 Error
5, -50,0,0,0,0,0,0
5, -48.9899,0,0,0,0,0,0
5, -47.9798,0,0,0,0,0,0
5, -46.9697,0,0,0,0,0,0
5, -45.9596,0,0,0,0,0,0
5, -44.9495,0,0,0,0,0,0
5, -43.9394,0,0,0,0,0,0
5, -42.9293,0,0,0,0,0,0
5, -41.9192,0,0,0,0,0,0
5, -40.9091,0,0,0,0,0,0
5, -39.899,0,0,0,0,0,0
5, -38.8889,0,0,0,0,0,0
5, -37.8788,0,0,0,0,0,0
5, -36.8687,0,0,0,0,0,0
5, -35.8586,0,0,0,0,0,0
5, -34.8485,0,0,0,0,0,0
5, -33.8384,0,0,0,0,0,0
5, -32.8283,0,0,0,0,0,0
5, -31.8182,0,0,0,5.0039e-309,0,1.69739e-312
5, -30.8081,0,0,0,5.52231e-290,0,1.87324e-293
5, -29.798,0,0,0,1.48132e-271,0,5.02481e-275
5, -28.7879,0,0,0,9.65809e-254,0,3.27614e-257
5, -27.7778,0,0,0,1.53056e-236,0,5.19185e-240
5, -26.7677,0,0,0,5.89556e-220,0,1.99985e-223
5, -25.7576,0,0,0,5.5197e-204,0,1.87235e-207
5, -24.7475,0,0,0,1.25609e-188,0,4.26082e-192
5, -23.7374,0,0,0,6.94774e-174,1.92343e-318,2.35676e-177
5, -22.7273,0,0,0,9.34074e-160,5.41816e-299,3.16849e-163
5, -21.7172,0,0,0,3.05235e-146,3.70973e-280,1.0354e-149
5, -20.7071,0,0,0,2.4244e-133,6.17375e-262,8.22386e-137
5, -19.697,0,0,0,4.68046e-121,2.4973e-244,1.58767e-124
5, -18.6869,0,0,0,2.19629e-109,2.45533e-227,7.45009e-113
5, -17.6768,0,0,0,2.50499e-98,5.86763e-211,8.49724e-102
5, -16.6667,0,0,0,6.94445e-88,3.40826e-195,2.35565e-91
5, -15.6566,0,0,0,4.67936e-78,4.81191e-180,1.5873e-81
5, -14.6465,0,0,0,7.6639e-69,1.65127e-165,2.59969e-72
5, -13.6364,0,0,0,3.05091e-60,1.37732e-151,1.03491e-63
5, -12.6263,0,0,0,2.95206e-52,2.79234e-138,1.00137e-55
5, -11.6162,0,0,0,6.94281e-45,1.37599e-125,2.35509e-48
5, -10.6061,0,0,0,3.96883e-38,1.64809e-113,1.34628e-41
5, -9.59596,0,0,0,5.51451e-32,4.798e-102,1.8706e-35
5, -8.58586,0,0,0,1.8624e-26,3.39512e-91,6.31763e-30
5, -7.57576,0,0,0,1.52889e-21,5.83938e-81,5.18666e-25
5, -6.56566,0,0,0,3.05134e-17,2.44115e-71,1.03544e-20
5, -5.55556,0,0,0,1.48152e-13,2.48048e-62,5.03313e-17
5, -4.54545,0,0,0,1.75477e-10,6.12626e-54,5.98955e-14
5, -3.53535,0,0,0,5.12737e-08,3.67764e-46,1.78336e-11
5, -2.52525,0,0,0,3.86018e-06,5.36611e-39,1.4395e-09
5, -1.51515,0,0,0,8.65432e-05,1.90312e-32,3.95122e-08
5, -0.505051,0,0,0,0.000790122,1.64054e-26,5.22419e-07
5, 0.505051,0.000289122,0,0.000289122,0.00403939,3.43735e-21,4.26087e-06
5, 1.51515,0.0024665,0,0.0024665,0.0138655,1.75056e-16,2.45468e-05
5, 2.52525,0.0108262,0,0.0108262,0.0354476,2.16694e-12,0.000108301
5, 3.53535,0.0326348,0,0.0326348,0.0720076,6.51974e-09,0.000385701
5, 4.54545,0.0761102,0,0.0761102,0.1214,4.76794e-06,0.00114533
5, 5.55556,0.146729,0,0.146729,0.175213,0.000847514,0.0021013
5, 6.56566,0.244057,0,0.244057,0.221526,0.0366167,-0.0299827
5, 7.57576,0.361087,0,0.361087,0.249742,0.384526,-0.371222
5, 8.58586,0.486378,0,0.486378,0.254593,0.981498,-0.95741
5, 9.59596,0.607664,1,-0.392336,0.237358,0.608932,-0.569146
5, 10.6061,0.715124,1,-0.284876,0.204269,0.0918255,-0.0313613
5, 11.6162,0.80312,1,-0.19688,0.163539,0.00336569,0.0818043
5, 12.6263,0.870257,1,-0.129743,0.122608,2.99847e-05,0.111861
5, 13.6364,0.9183,1,-0.0816996,0.0865655,6.49295e-08,0.137835
5, 14.6465,0.950732,1,-0.0492677,0.0578379,3.41743e-11,0.159961
5, 15.6566,0.971485,1,-0.0285149,0.0367255,4.37194e-15,0.175608
5, 16.6667,0.984126,1,-0.0158738,0.022245,1.35945e-19,0.183036
5, 17.6768,0.991483,1,-0.00851696,0.0128956,1.02747e-24,0.181719
5, 18.6869,0.995587,1,-0.00441292,0.00717578,1.88751e-30,0.172344
5, 19.697,0.997788,1,-0.00221207,0.0038429,8.42802e-37,0.156553
5, 20.7071,0.998925,1,-0.0010746,0.00198536,9.14698e-44,0.136531
5, 21.7172,0.999493,1,-0.000506712,0.000991599,2.41294e-51,0.114561
5, 22.7273,0.999768,1,-0.000232268,0.000479725,1.54714e-59,0.0926687
5, 23.7374,0.999896,1,-0.00010364,0.000225203,2.41118e-68,0.0723941
5, 24.7475,0.999955,1,-4.50758e-05,0.00010275,9.13366e-78,0.0547099
5, 25.7576,0.999981,1,-1.91317e-05,4.56309e-05,8.40961e-88,0.0400574
5, 26.7677,0.999992,1,-7.93313e-06,1.97512e-05,1.88201e-98,0.0284556
5, 27.7778,0.999997,1,-3.21715e-06,8.34315e-06,1.02373e-109,0.0196376
5, 28.7879,0.999999,1,-1.2772e-06,3.44328e-06,1.35352e-121,0.0131817
5, 29.798,1,1,-4.96821e-07,1.38991e-06,4.34969e-134,0.00861604
5, 30.8081,1,1,-1.89526e-07,5.4929e-07,3.39756e-147,0.0054898
5, 31.8182,1,1,-7.09604e-08,2.12728e-07,6.4505e-161,0.00341309
5, 32.8283,1,1,-2.60955e-08,8.08035e-08,2.9767e-175,0.00207244
5, 33.8384,1,1,-9.43244e-09,3.01278e-08,3.33881e-190,0.00123009
5, 34.8485,1,1,-3.35338e-09,1.10348e-08,9.10258e-206,0.000714274
5, 35.8586,1,1,-1.17331e-09,3.97313e-09,6.03189e-222,0.000406072
5, 36.8687,1,1,-4.04268e-10,1.4072e-09,9.71533e-239,0.000226186
5, 37.8788,1,1,-1.37244e-10,4.9058e-10,3.80345e-256,0.000123524
5, 38.8889,1,1,-4.59317e-11,1.68441e-10,3.61921e-274,6.61817e-05
5, 39.899,1,1,-1.51609e-11,5.69915e-11,8.37077e-293,3.48094e-05
5, 40.9091,1,1,-4.93772e-12,1.9012e-11,4.70579e-312,1.79836e-05
5, 41.9192,1,1,-1.58706e-12,6.25622e-12,0,9.13106e-06
5, 42.9293,1,1,-5.03264e-13,2.03175e-12,0,4.55886e-06
5, 43.9394,1,1,-1.57097e-13,6.51468e-13,0,2.23923e-06
5, 44.9495,1,1,-4.80727e-14,2.06331e-13,0,1.08257e-06
5, 45.9596,1,1,-1.42109e-14,6.4574e-14,0,5.15381e-07
5, 46.9697,1,1,-3.77476e-15,1.99774e-14,0,2.41713e-07
5, 47.9798,1,1,-7.77156e-16,6.11173e-15,0,1.11725e-07
5, 48.9899,1,1,0,1.84963e-15,0,5.09158e-08
5, 50,1,1,0,5.53912e-16,0,2.2886e-08
10, -50,0,0,0,0,0,0
10, -48.9899,0,0,0,0,0,0
10, -47.9798,0,0,0,0,0,0
10, -46.9697,0,0,0,0,0,0
10, -45.9596,0,0,0,0,0,0
10, -44.9495,0,0,0,0,0,0
10, -43.9394,0,0,0,0,0,0
10, -42.9293,0,0,0,0,0,0
10, -41.9192,0,0,0,0,0,0
10, -40.9091,0,0,0,0,0,0
10, -39.899,0,0,0,0,0,0
10, -38.8889,0,0,0,0,0,0
10, -37.8788,0,0,0,0,0,0
10, -36.8687,0,0,0,0,0,0
10, -35.8586,0,0,0,0,0,0
10, -34.8485,0,0,0,0,0,0
10, -33.8384,0,0,0,0,0,0
10, -32.8283,0,0,0,0,0,0
10, -31.8182,0,0,0,1.69739e-312,0,0
10, -30.8081,0,0,0,1.87324e-293,0,0
10, -29.798,0,0,0,5.02481e-275,0,0
10, -28.7879,0,0,0,3.27614e-257,0,0
10, -27.7778,0,0,0,5.19185e-240,0,0
10, -26.7677,0,0,0,1.99985e-223,0,0
10, -25.7576,0,0,0,1.87235e-207,0,0
10, -24.7475,0,0,0,4.26082e-192,0,0
10, -23.7374,0,0,0,2.35676e-177,0,0
10, -22.7273,0,0,0,3.16849e-163,0,0
10, -21.7172,0,0,0,1.0354e-149,0,0
10, -20.7071,0,0,0,8.22386e-137,0,0
10, -19.697,0,0,0,1.58767e-124,0,0
10, -18.6869,0,0,0,7.45009e-113,0,0
10, -17.6768,0,0,0,8.49724e-102,0,0
10, -16.6667,0,0,0,2.35565e-91,0,0
10, -15.6566,0,0,0,1.5873e-81,0,0
10, -14.6465,0,0,0,2.59969e-72,8.26134e-312,-7.64141e-311
10, -13.6364,0,0,0,1.03491e-63,1.44379e-292,-1.33543e-291
10, -12.6263,0,0,0,1.00137e-55,6.13302e-274,-5.67264e-273
10, -11.6162,0,0,0,2.35509e-48,6.33228e-256,-5.85683e-255
10, -10.6061,0,0,0,1.34628e-41,1.58914e-238,-1.46978e-237
10, -9.59596,0,0,0,1.8706e-35,9.69345e-222,-8.96512e-221
10, -8.58586,0,0,0,6.31763e-30,1.43718e-205,-1.32914e-204
10, -7.57576,0,0,0,5.18666e-25,5.17917e-190,-4.78957e-189
10, -6.56566,0,0,0,1.03544e-20,4.53653e-175,-4.195e-174
10, -5.55556,0,0,0,5.03313e-17,9.65838e-161,-8.93048e-160
10, -4.54545,0,0,0,5.98955e-14,4.99804e-147,-4.62086e-146
10, -3.53535,0,0,0,1.78336e-11,6.28654e-134,-5.81131e-133
10, -2.52525,0,0,0,1.4395e-09,1.92194e-121,-1.77633e-120
10, -1.51515,0,0,0,3.95122e-08,1.42818e-109,-1.31968e-108
10, -0.505051,0,0,0,5.22419e-07,2.57953e-98,-2.38287e-97
10, 0.505051,9.80738e-08,0,9.80738e-08,4.26087e-06,1.13244e-87,-1.04571e-86
10, 1.51515,1.56078e-06,0,1.56078e-06,2.45468e-05,1.20839e-77,-1.11531e-76
10, 2.52525,1.25764e-05,0,1.25764e-05,0.000108301,3.13409e-68,-2.89092e-67
10, 3.53535,6.84246e-05,0,6.84246e-05,0.000385708,1.97576e-59,-1.82104e-58
10, 4.54545,0.000282844,0,0.000282844,0.0011501,3.02741e-51,-2.78756e-50
10, 5.55556,0.00094776,0,0.00094776,0.00294881,1.12752e-43,-1.03687e-42
10, 6.56566,0.00268238,0,0.00268238,0.006634,1.02069e-36,-9.37098e-36
10, 7.57576,0.00659775,0,0.00659775,0.0133043,2.24584e-30,-2.05761e-29
10, 8.58586,0.014403,0,0.014403,0.0240884,1.2011e-24,-1.09749e-23
10, 9.59596,0.0283621,0,-0.971638,0.0397857,1.56133e-19,-1.42177e-18
10, 10.6061,0.0510362,0,-0.948964,0.0604642,4.93319e-15,-4.47254e-14
10, 11.6162,0.0848228,0,-0.915177,0.08517,3.78857e-11,-3.41553e-10
10, 12.6263,0.131388,0,-0.868612,0.111891,7.07195e-08,-6.32998e-07
10, 13.6364,0.191158,0,-0.808842,0.137835,3.20862e-05,-0.000284617
10, 14.6465,0.263027,0,-0.736973,0.159961,0.00353846,-0.0310527
10, 15.6566,0.34439,0,-0.65561,0.175608,0.0948473,-0.824096
10, 16.6667,0.431497,0,-0.568503,0.183036,0.617947,-5.3861
10, 17.6768,0.520023,1,-0.479977,0.181719,0.978574,-9.12241
10, 18.6869,0.605719,1,-0.394281,0.172344,0.376662,-4.68771
10, 19.697,0.684976,1,-0.315024,0.156553,0.0352392,-0.919743
10, 20.7071,0.755198,1,-0.244802,0.136531,0.000801337,-0.0667562
10, 21.7172,0.814946,1,-0.185054,0.114561,4.42915e-06,-0.00141722
10, 22.7273,0.863872,1,-0.136128,0.0926687,5.95034e-09,-7.70785e-06
10, 23.7374,0.902509,1,-0.0974914,0.0723941,1.94303e-12,-1.03183e-08
10, 24.7475,0.931986,1,-0.0680137,0.0547099,1.54217e-16,-3.36684e-12
10, 25.7576,0.953751,1,-0.0462493,0.0400574,2.97509e-21,-2.67186e-16
10, 26.7677,0.969326,1,-0.0306744,0.0284556,1.39503e-26,-5.15434e-21
10, 27.7778,0.980144,1,-0.0198563,0.0196376,1.58995e-32,-2.41689e-26
10, 28.7879,0.987446,1,-0.0125536,0.0131817,4.40453e-39,-2.75459e-32
10, 29.798,0.992243,1,-0.00775672,0.00861604,2.96573e-46,-7.63085e-39
10, 30.8081,0.995313,1,-0.00468725,0.0054898,4.85376e-54,-5.13812e-46
10, 31.8182,0.997228,1,-0.00277187,0.00341309,1.93082e-62,-8.40914e-54
10, 32.8283,0.998395,1,-0.00160516,0.00207244,1.86689e-71,-3.34514e-62
