Time step, X values, Set 1 Solution, Set 1 Analytical, Set 1 Error, Set 2 Solution, Set 2 Analytical, Set 2 Error
5, -50,0,0,0,0,0,0
5, -49.7494,0,0,0,0,0,0
5, -49.4987,0,0,0,0,0,0
5, -49.2481,0,0,0,0,0,0
5, -48.9975,0,0,0,0,0,0
5, -48.7469,0,0,0,0,0,0
5, -48.4962,0,0,0,0,0,0
5, -48.2456,0,0,0,0,0,0
5, -47.995,0,0,0,0,0,0
5, -47.7444,0,0,0,0,0,0
5, -47.4937,0,0,0,0,0,0
5, -47.2431,0,0,0,0,0,0
5, -46.9925,0,0,0,0,0,0
5, -46.7419,0,0,0,0,0,0
5, -46.4912,0,0,0,0,0,0
5, -46.2406,0,0,0,0,0,0
5, -45.99,0,0,0,0,0,0
5, -45.7393,0,0,0,0,0,0
5, -45.4887,0,0,0,0,0,0
5, -45.2381,0,0,0,0,0,0
5, -44.9875,0,0,0,0,0,0
5, -44.7368,0,0,0,0,0,0
5, -44.4862,0,0,0,0,0,0
5, -44.2356,0,0,0,0,0,0
5, -43.985,0,0,0,0,0,0
5, -43.7343,0,0,0,0,0,0
5, -43.4837,0,0,0,0,0,0
5, -43.2331,0,0,0,0,0,0
5, -42.9825,0,0,0,0,0,0
5, -42.7318,0,0,0,0,0,0
5, -42.4812,0,0,0,0,0,0
5, -42.2306,0,0,0,0,0,0
5, -41.9799,0,0,0,0,0,0
5, -41.7293,0,0,0,0,0,0
5, -41.4787,0,0,0,0,0,0
5, -41.2281,0,0,0,0,0,0
5, -40.9774,0,0,0,0,0,0
5, -40.7268,0,0,0,0,0,0
5, -40.4762,0,0,0,0,0,0
5, -40.2256,0,0,0,0,0,0
5, -39.9749,0,0,0,0,0,0
5, -39.7243,0,0,0,0,0,0
5, -39.4737,0,0,0,0,0,0
5, -39.2231,0,0,0,0,0,0
5, -38.9724,0,0,0,0,0,0
5, -38.7218,0,0,0,0,0,0
5, -38.4712,0,0,0,0,0,0
5, -38.2206,0,0,0,0,0,0
5, -37.9699,0,0,0,0,0,0
5, -37.7193,0,0,0,0,0,0
5, -37.4687,0,0,0,0,0,0
5, -37.218,0,0,0,0,0,0
5, -36.9674,0,0,0,0,0,0
5, -36.7168,0,0,0,0,0,0
5, -36.4662,0,0,0,0,0,0
5, -36.2155,0,0,0,0,0,0
5, -35.9649,0,0,0,0,0,0
5, -35.7143,0,0,0,0,0,0
5, -35.4637,0,0,0,0,0,0
5, -35.213,0,0,0,0,0,0
5, -34.9624,0,0,0,0,0,0
5, -34.7118,0,0,0,0,0,0
5, -34.4612,0,0,0,0,0,0
5, -34.2105,0,0,0,0,0,0
5, -33.9599,0,0,0,0,0,0
5, -33.7093,0,0,0,0,0,0
5, -33.4586,0,0,0,0,0,0
5, -33.208,0,0,0,0,0,0
5, -32.9574,0,0,0,0,0,0
5, -32.7068,0,0,0,4.94066e-324,0,4.94066e-324
5, -32.4561,0,0,0,4.94066e-324,0,4.94066e-324
5, -32.2055,0,0,0,4.94066e-324,0,4.94066e-324
5, -31.9549,0,0,0,7.65308e-320,0,4.94066e-324
5, -31.7043,0,0,0,4.86079e-315,0,4.94066e-324
5, -31.4536,0,0,0,2.82968e-310,0,8.94259e-322
5, -31.203,0,0,0,1.50991e-305,0,4.77571e-317
5, -30.9524,0,0,0,7.38499e-301,0,2.33589e-312
5, -30.7018,0,0,0,3.31079e-296,0,1.04725e-307
5, -30.4511,0,0,0,1.3605e-291,0,4.30362e-303
5, -30.2005,0,0,0,5.12446e-287,0,1.62108e-298
5, -29.9499,0,0,0,1.76922e-282,0,5.59705e-294
5, -29.6992,0,0,0,5.59887e-278,0,1.77134e-289
5, -29.4486,0,0,0,1.62407e-273,0,5.13843e-285
5, -29.198,0,0,0,4.31809e-269,0,1.3663e-280
5, -28.9474,0,0,0,1.05236e-264,0,3.33004e-276
5, -28.6967,0,0,0,2.35084e-260,0,7.43945e-272
5, -28.4461,0,0,0,4.81356e-256,0,1.52342e-267
5, -28.1955,0,0,0,9.03432e-252,0,2.8595e-263
5, -27.9449,0,0,0,1.55421e-247,0,4.91981e-259
5, -27.6942,0,0,0,2.45083e-243,0,7.75886e-255
5, -27.4436,0,0,0,3.54243e-239,0,1.1216e-250
5, -27.193,0,0,0,4.69329e-235,0,1.48618e-246
5, -26.9424,0,0,0,5.69955e-231,0,1.80507e-242
5, -26.6917,0,0,0,6.34443e-227,0,2.00962e-238
5, -26.4411,0,0,0,6.4734e-223,0,2.05081e-234
5, -26.1905,0,0,0,6.05427e-219,0,1.91838e-230
5, -25.9398,0,0,0,5.19016e-215,0,1.64491e-226
5, -25.6892,0,0,0,4.07841e-211,0,1.29284e-222
5, -25.4386,0,0,0,2.93759e-207,0,9.31428e-219
5, -25.188,0,0,0,1.93947e-203,0,6.15113e-215
5, -24.9373,0,0,0,1.17373e-199,0,3.7236e-211
5, -24.6867,0,0,0,6.51102e-196,0,2.06622e-207
5, -24.4361,0,0,0,3.31073e-192,0,1.05099e-203
5, -24.1855,0,0,0,1.5431e-188,0,4.90036e-200
5, -23.9348,0,0,0,6.59267e-185,2.56914e-322,2.09445e-196
5, -23.6842,0,0,0,2.58183e-181,2.10409e-317,8.20588e-193
5, -23.4336,0,0,0,9.26815e-178,1.57843e-312,2.94713e-189
5, -23.183,0,0,0,3.04973e-174,1.08535e-307,9.7027e-186
5, -22.9323,0,0,0,9.19882e-171,6.84062e-303,2.92826e-182
5, -22.6817,0,0,0,2.54336e-167,3.95188e-298,8.10132e-179
5, -22.4311,0,0,0,6.44603e-164,2.09264e-293,2.05463e-175
5, -22.1805,0,0,0,1.49757e-160,1.01571e-288,4.7769e-172
5, -21.9298,0,0,0,3.18927e-157,4.51881e-284,1.01813e-168
5, -21.6792,0,0,0,6.22604e-154,1.84273e-279,1.98931e-165
5, -21.4286,0,0,0,1.11417e-150,6.88784e-275,3.56333e-162
5, -21.1779,0,0,0,1.82772e-147,2.35986e-270,5.85151e-159
5, -20.9273,0,0,0,2.74848e-144,7.41092e-266,8.8094e-156
5, -20.6767,0,0,0,3.78883e-141,2.13324e-261,1.2159e-152
5, -20.4261,0,0,0,4.78795e-138,5.62847e-257,1.53861e-149
5, -20.1754,0,0,0,5.54665e-135,1.3612e-252,1.78506e-146
5, -19.9248,0,0,0,5.89053e-132,3.01743e-248,1.89878e-143
5, -19.6742,0,0,0,5.73489e-129,6.13106e-244,1.85186e-140
5, -19.4236,0,0,0,5.11858e-126,1.14187e-239,1.65601e-137
5, -19.1729,0,0,0,4.18826e-123,1.94929e-235,1.35786e-134
5, -18.9223,0,0,0,3.14184e-120,3.05016e-231,1.02093e-131
5, -18.6717,0,0,0,2.16077e-117,4.37471e-227,7.03878e-129
5, -18.4211,0,0,0,1.36244e-114,5.7512e-223,4.45021e-126
5, -18.1704,0,0,0,7.87619e-112,6.93028e-219,2.58025e-123
5, -17.9198,0,0,0,4.17463e-109,7.65464e-215,1.37202e-120
5, -17.6692,0,0,0,2.02876e-106,7.74964e-211,6.69109e-118
5, -17.4185,0,0,0,9.04002e-104,7.19152e-207,2.99292e-115
5, -17.1679,0,0,0,3.69356e-101,6.11705e-203,1.22795e-112
5, -16.9173,0,0,0,1.38379e-98,4.76921e-199,4.62145e-110
5, -16.6667,0,0,0,4.75405e-96,3.40826e-195,1.59559e-107
5, -16.416,0,0,0,1.49775e-93,2.23255e-191,5.05403e-105
5, -16.1654,0,0,0,4.32729e-91,1.34045e-187,1.46881e-102
5, -15.9148,0,0,0,1.1466e-88,7.3771e-184,3.91691e-100
5, -15.6642,0,0,0,2.78646e-86,3.72136e-180,9.58541e-98
5, -15.4135,0,0,0,6.21095e-84,1.72068e-176,2.15285e-95
5, -15.1629,0,0,0,1.26986e-81,7.29257e-173,4.43814e-93
5, -14.9123,0,0,0,2.3816e-79,2.83298e-169,8.39896e-91
5, -14.6617,0,0,0,4.09763e-77,1.00876e-165,1.4593e-88
5, -14.411,0,0,0,6.46812e-75,3.29243e-162,2.32822e-86
5, -14.1604,0,0,0,9.36787e-73,9.84979e-159,3.41135e-84
5, -13.9098,0,0,0,1.24497e-70,2.70097e-155,4.59124e-82
5, -13.6591,0,0,0,1.51837e-68,6.78883e-152,5.6769e-80
5, -13.4085,0,0,0,1.69957e-66,1.56406e-148,6.44998e-78
5, -13.1579,0,0,0,1.7462e-64,3.30287e-145,6.7354e-76
5, -12.9073,0,0,0,1.64702e-62,6.39314e-142,6.46589e-74
5, -12.6566,0,0,0,1.4263e-60,1.13428e-138,5.70771e-72
5, -12.406,0,0,0,1.13421e-58,1.84462e-135,4.63427e-70
5, -12.1554,0,0,0,8.28356e-57,2.74964e-132,3.46189e-68
5, -11.9048,0,0,0,5.5572e-55,3.75688e-129,2.3801e-66
5, -11.6541,0,0,0,3.42525e-53,4.70502e-126,1.50652e-64
5, -11.4035,0,0,0,1.94005e-51,5.40105e-123,8.78228e-63
5, -11.1529,0,0,0,1.00999e-49,5.68299e-120,4.717e-61
5, -10.9023,0,0,0,4.83396e-48,5.48099e-117,2.33523e-59
5, -10.6516,0,0,0,2.12759e-46,4.84532e-114,1.0661e-57
5, -10.401,0,0,0,8.61367e-45,3.92617e-111,4.49029e-56
5, -10.1504,0,0,0,3.20876e-43,2.91607e-108,1.74576e-54
5, -9.89975,0,0,0,1.10021e-41,1.98522e-105,6.26852e-53
5, -9.64912,0,0,0,3.47337e-40,1.2388e-102,2.08003e-51
5, -9.3985,0,0,0,1.01002e-38,7.08562e-100,6.38211e-50
5, -9.14787,0,0,0,2.7064e-37,3.7148e-97,1.81191e-48
5, -8.89724,0,0,0,6.68527e-36,1.78516e-94,4.76306e-47
5, -8.64662,0,0,0,1.52306e-34,7.86321e-92,1.1602e-45
5, -8.39599,0,0,0,3.20185e-33,3.17472e-89,2.62064e-44
5, -8.14536,0,0,0,6.21446e-32,1.17488e-86,5.49374e-43
5, -7.89474,0,0,0,1.11422e-30,3.98532e-84,1.06975e-41
5, -7.64411,0,0,0,1.8466e-29,1.23913e-81,1.93657e-40
5, -7.39348,0,0,0,2.83063e-28,3.53143e-79,3.26234e-39
5, -7.14286,0,0,0,4.0161e-27,9.22504e-77,5.11904e-38
5, -6.89223,0,0,0,5.27781e-26,2.20886e-74,7.48941e-37
5, -6.6416,0,0,0,6.42934e-25,4.84786e-72,1.02272e-35
5, -6.39098,0,0,0,7.26602e-24,9.75248e-70,1.30492e-34
5, -6.14035,0,0,0,7.62462e-23,1.7983e-67,1.55743e-33
5, -5.88972,0,0,0,7.43575e-22,3.03942e-65,1.7407e-32
5, -5.6391,0,0,0,6.7457e-21,4.70872e-63,1.82403e-31
5, -5.38847,0,0,0,5.69846e-20,6.68648e-61,1.79411e-30
5, -5.13784,0,0,0,4.48711e-19,8.7031e-59,1.65844e-29
5, -4.88722,0,0,0,3.29702e-18,1.03832e-56,1.4425e-28
5, -4.63659,0,0,0,2.26314e-17,1.13547e-54,1.18205e-27
