Time step, X values, Set 1 Solution, Set 1 Analytical, Set 1 Error, Set 2 Solution, Set 2 Analytical, Set 2 Error
5, -50,0,0,0,0,0,0
5, -48.9899,-9.40763e-54,0,-9.40763e-54,-1.01032e-49,0,-1.01032e-49
5, -47.9798,1.26199e-52,0,1.26199e-52,1.19494e-48,0,1.19494e-48
5, -46.9697,-2.72864e-50,0,-2.72864e-50,-5.85261e-47,0,-5.85261e-47
5, -45.9596,4.33081e-48,0,4.33081e-48,8.54126e-46,0,8.54126e-46
5, -44.9495,-5.37955e-46,0,-5.37955e-46,1.66565e-43,0,1.66565e-43
5, -43.9394,5.44486e-44,0,5.44486e-44,-2.13167e-41,0,-2.13167e-41
5, -42.9293,-4.61632e-42,0,-4.61632e-42,1.61636e-39,0,1.61636e-39
5, -41.9192,3.34494e-40,0,3.34494e-40,-9.41272e-38,0,-9.41272e-38
5, -40.9091,-2.10306e-38,0,-2.10306e-38,4.53183e-36,0,4.53183e-36
5, -39.899,1.16096e-36,0,1.16096e-36,-1.86375e-34,0,-1.86375e-34
5, -38.8889,-5.68022e-35,0,-5.68022e-35,6.66161e-33,0,6.66161e-33
5, -37.8788,2.48204e-33,0,2.48204e-33,-2.08948e-31,0,-2.08948e-31
5, -36.8687,-9.74681e-32,0,-9.74681e-32,5.77798e-30,0,5.77798e-30
5, -35.8586,3.45759e-30,0,3.45759e-30,-1.40895e-28,0,-1.40895e-28
5, -34.8485,-1.11279e-28,0,-1.11279e-28,3.01443e-27,0,3.01443e-27
5, -33.8384,3.26097e-27,0,3.26097e-27,-5.58139e-26,0,-5.58139e-26
5, -32.8283,-8.72725e-26,0,-8.72725e-26,8.65586e-25,0,8.65586e-25
5, -31.8182,2.1384e-24,0,2.1384e-24,-1.02681e-23,0,-1.02681e-23
5, -30.8081,-4.80701e-23,0,-4.80701e-23,5.96225e-23,0,5.96225e-23
5, -29.798,9.93019e-22,0,9.93019e-22,1.15572e-21,0,1.15572e-21
5, -28.7879,-1.88758e-20,0,-1.88758e-20,-5.11742e-20,0,-5.11742e-20
5, -27.7778,3.30478e-19,0,3.30478e-19,1.1991e-18,0,1.1991e-18
5, -26.7677,-5.33295e-18,0,-5.33295e-18,-2.17962e-17,0,-2.17962e-17
5, -25.7576,7.93496e-17,0,7.93496e-17,3.34601e-16,0,3.34601e-16
5, -24.7475,-1.08872e-15,0,-1.08872e-15,-4.48053e-15,0,-4.48053e-15
5, -23.7374,1.37718e-14,0,1.37718e-14,5.31153e-14,1.92343e-318,5.31153e-14
5, -22.7273,-1.60531e-13,0,-1.60531e-13,-5.61309e-13,5.41816e-299,-5.61309e-13
5, -21.7172,1.72293e-12,0,1.72293e-12,5.30051e-12,3.70973e-280,5.30051e-12
5, -20.7071,-1.70066e-11,0,-1.70066e-11,-4.46866e-11,6.17375e-262,-4.46866e-11
5, -19.697,1.5415e-10,0,1.5415e-10,3.34992e-10,2.4973e-244,3.34992e-10
5, -18.6869,-1.28055e-09,0,-1.28055e-09,-2.21548e-09,2.45533e-227,-2.21548e-09
5, -17.6768,9.72563e-09,0,9.72563e-09,1.27478e-08,5.86763e-211,1.27478e-08
5, -16.6667,-6.7327e-08,0,-6.7327e-08,-6.22022e-08,3.40826e-195,-6.22022e-08
5, -15.6566,4.23236e-07,0,4.23236e-07,2.43656e-07,4.81191e-180,2.43656e-07
5, -14.6465,-2.40479e-06,0,-2.40479e-06,-6.50347e-07,1.65127e-165,-6.50347e-07
5, -13.6364,1.22784e-05,0,1.22784e-05,1.35378e-07,1.37732e-151,1.35378e-07
5, -12.6263,-5.59191e-05,0,-5.59191e-05,1.12077e-05,2.79234e-138,1.12077e-05
5, -11.6162,0.000224979,0,0.000224979,-8.14575e-05,1.37599e-125,-8.14575e-05
5, -10.6061,-0.000789294,0,-0.000789294,0.000372228,1.64809e-113,0.000372228
5, -9.59596,0.0023706,0,0.0023706,-0.0012447,4.798e-102,-0.0012447
5, -8.58586,-0.00592636,0,-0.00592636,0.00304674,3.39512e-91,0.00304674
5, -7.57576,0.0117477,0,0.0117477,-0.00490694,5.83938e-81,-0.00490694
5, -6.56566,-0.0166323,0,-0.0166323,0.00273626,2.44115e-71,0.00273626
5, -5.55556,0.011457,0,0.011457,0.0089184,2.48048e-62,0.0089184
5, -4.54545,0.0117457,0,0.0117457,-0.0236473,6.12626e-54,-0.0236473
5, -3.53535,-0.0372068,0,-0.0372068,0.0112837,3.67764e-46,0.0112837
5, -2.52525,0.0187405,0,0.0187405,0.0415778,5.36611e-39,0.0415778
5, -1.51515,0.0495337,0,0.0495337,-0.0514267,1.90312e-32,-0.0514267
5, -0.505051,-0.0533659,0,-0.0533659,-0.0635534,1.64054e-26,-0.0635534
5, 0.505051,-0.0709394,0,-0.0709394,0.0977305,3.43735e-21,0.0977305
5, 1.51515,0.0750865,0,0.0750865,0.134559,1.75056e-16,0.134559
5, 2.52525,0.1371,0,0.1371,-0.0929209,2.16694e-12,-0.0929209
5, 3.53535,-0.0227921,0,-0.0227921,-0.283479,6.51974e-09,-0.283479
5, 4.54545,-0.221328,0,-0.221328,-0.148813,4.76794e-06,-0.148818
5, 5.55556,-0.22299,0,-0.22299,0.219032,0.000847514,0.218184
5, 6.56566,0.00643443,0,0.00643443,0.526689,0.0366167,0.490072
5, 7.57576,0.335383,0,0.335383,0.606629,0.384526,0.222103
5, 8.58586,0.626098,0,0.626098,0.497542,0.981498,-0.483956
5, 9.59596,0.81977,1,-0.18023,0.323142,0.608932,-0.28579
5, 10.6061,0.924444,1,-0.0755565,0.174558,0.0918255,0.0827329
5, 11.6162,0.972123,1,-0.0278766,0.0806937,0.00336569,0.077328
5, 12.6263,0.990862,1,-0.00913773,0.0325246,2.99847e-05,0.0324946
5, 13.6364,0.997319,1,-0.00268146,0.0115829,6.49295e-08,0.0115828
5, 14.6465,0.999291,1,-0.000708812,0.00368089,3.41743e-11,0.00368089
5, 15.6566,0.99983,1,-0.000169639,0.00105184,4.37194e-15,0.00105184
5, 16.6667,0.999963,1,-3.69127e-05,0.000271919,1.35945e-19,0.000271919
5, 17.6768,0.999993,1,-7.32808e-06,6.39085e-05,1.02747e-24,6.39085e-05
5, 18.6869,0.999999,1,-1.33112e-06,1.37102e-05,1.88751e-30,1.37102e-05
5, 19.697,1,1,-2.21759e-07,2.69359e-06,8.42802e-37,2.69359e-06
5, 20.7071,1,1,-3.39487e-08,4.85964e-07,9.14698e-44,4.85964e-07
5, 21.7172,1,1,-4.78311e-09,8.06931e-08,2.41294e-51,8.06931e-08
