Please enter the number of space grid points desired: 100
***********************
Explicit Solutions
***********************
t= 5	 x= -50	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= -48.9899	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= -47.9798	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= -46.9697	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= -45.9596	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= -44.9495	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= -43.9394	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= -42.9293	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= -41.9192	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= -40.9091	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= -39.899	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= -38.8889	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= -37.8788	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= -36.8687	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= -35.8586	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= -34.8485	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= -33.8384	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= -32.8283	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= -31.8182	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= -30.8081	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= -29.798	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= -28.7879	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= -27.7778	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= -26.7677	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= -25.7576	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= -24.7475	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= -23.7374	 A1= 0	 solution1= 0	 error1= 0		 A2= 1.92343e-318	 solution2= 	-1.58676e-317	 error2= -1.7791e-317
t= 5	 x= -22.7273	 A1= 0	 solution1= 0	 error1= 0		 A2= 5.41816e-299	 solution2= 	-4.46972e-298	 error2= -5.01154e-298
t= 5	 x= -21.7172	 A1= 0	 solution1= 0	 error1= 0		 A2= 3.70973e-280	 solution2= 	-3.0603e-279	 error2= -3.43128e-279
t= 5	 x= -20.7071	 A1= 0	 solution1= 0	 error1= 0		 A2= 6.17375e-262	 solution2= 	-5.09286e-261	 error2= -5.71024e-261
t= 5	 x= -19.697	 A1= 0	 solution1= 0	 error1= 0		 A2= 2.4973e-244	 solution2= 	-2.06003e-243	 error2= -2.30976e-243
t= 5	 x= -18.6869	 A1= 0	 solution1= 0	 error1= 0		 A2= 2.45533e-227	 solution2= 	-2.02533e-226	 error2= -2.27087e-226
t= 5	 x= -17.6768	 A1= 0	 solution1= 0	 error1= 0		 A2= 5.86763e-211	 solution2= 	-4.83985e-210	 error2= -5.42661e-210
t= 5	 x= -16.6667	 A1= 0	 solution1= 0	 error1= 0		 A2= 3.40826e-195	 solution2= 	-2.81111e-194	 error2= -3.15194e-194
t= 5	 x= -15.6566	 A1= 0	 solution1= 0	 error1= 0		 A2= 4.81191e-180	 solution2= 	-3.96856e-179	 error2= -4.44975e-179
t= 5	 x= -14.6465	 A1= 0	 solution1= 0	 error1= 0		 A2= 1.65127e-165	 solution2= 	-1.36175e-164	 error2= -1.52687e-164
t= 5	 x= -13.6364	 A1= 0	 solution1= 0	 error1= 0		 A2= 1.37732e-151	 solution2= 	-1.1357e-150	 error2= -1.27343e-150
t= 5	 x= -12.6263	 A1= 0	 solution1= 0	 error1= 0		 A2= 2.79234e-138	 solution2= 	-2.30215e-137	 error2= -2.58138e-137
t= 5	 x= -11.6162	 A1= 0	 solution1= 0	 error1= 0		 A2= 1.37599e-125	 solution2= 	-1.13423e-124	 error2= -1.27183e-124
t= 5	 x= -10.6061	 A1= 0	 solution1= 0	 error1= 0		 A2= 1.64809e-113	 solution2= 	-1.3582e-112	 error2= -1.52301e-112
t= 5	 x= -9.59596	 A1= 0	 solution1= 0	 error1= 0		 A2= 4.798e-102	 solution2= 	-3.95287e-101	 error2= -4.43267e-101
t= 5	 x= -8.58586	 A1= 0	 solution1= 0	 error1= 0		 A2= 3.39512e-91	 solution2= 	-2.79602e-90	 error2= -3.13553e-90
t= 5	 x= -7.57576	 A1= 0	 solution1= 0	 error1= 0		 A2= 5.83938e-81	 solution2= 	-4.8066e-80	 error2= -5.39054e-80
t= 5	 x= -6.56566	 A1= 0	 solution1= 0	 error1= 0		 A2= 2.44115e-71	 solution2= 	-2.00813e-70	 error2= -2.25224e-70
t= 5	 x= -5.55556	 A1= 0	 solution1= 0	 error1= 0		 A2= 2.48048e-62	 solution2= 	-2.03885e-61	 error2= -2.2869e-61
t= 5	 x= -4.54545	 A1= 0	 solution1= 0	 error1= 0		 A2= 6.12626e-54	 solution2= 	-5.03033e-53	 error2= -5.64295e-53
t= 5	 x= -3.53535	 A1= 0	 solution1= 0	 error1= 0		 A2= 3.67764e-46	 solution2= 	-3.01578e-45	 error2= -3.38354e-45
t= 5	 x= -2.52525	 A1= 0	 solution1= 0	 error1= 0		 A2= 5.36611e-39	 solution2= 	-4.39296e-38	 error2= -4.92957e-38
t= 5	 x= -1.51515	 A1= 0	 solution1= 0	 error1= 0		 A2= 1.90312e-32	 solution2= 	-1.55463e-31	 error2= -1.74494e-31
t= 5	 x= -0.505051	 A1= 0	 solution1= 0	 error1= 0		 A2= 1.64054e-26	 solution2= 	-1.33644e-25	 error2= -1.50049e-25
t= 5	 x= 0.505051	 A1= 0	 solution1= 0	 error1= 0		 A2= 3.43735e-21	 solution2= 	-2.79029e-20	 error2= -3.13402e-20
t= 5	 x= 1.51515	 A1= 0	 solution1= 0	 error1= 0		 A2= 1.75056e-16	 solution2= 	-1.41459e-15	 error2= -1.58965e-15
t= 5	 x= 2.52525	 A1= 0	 solution1= 0	 error1= 0		 A2= 2.16694e-12	 solution2= 	-1.74089e-11	 error2= -1.95759e-11
t= 5	 x= 3.53535	 A1= 0	 solution1= 0	 error1= 0		 A2= 6.51974e-09	 solution2= 	-5.19903e-08	 error2= -5.851e-08
t= 5	 x= 4.54545	 A1= 0	 solution1= 0	 error1= 0		 A2= 4.76794e-06	 solution2= 	-3.76637e-05	 error2= -4.24316e-05
t= 5	 x= 5.55556	 A1= 0	 solution1= 0	 error1= 0		 A2= 0.000847514	 solution2= 	-0.00661799	 error2= -0.0074655
t= 5	 x= 6.56566	 A1= 0	 solution1= 0	 error1= 0		 A2= 0.0366167	 solution2= 	-0.282454	 error2= -0.319071
t= 5	 x= 7.57576	 A1= 0	 solution1= 0	 error1= 0		 A2= 0.384526	 solution2= 	-2.95265	 error2= -3.33718
t= 5	 x= 8.58586	 A1= 0	 solution1= 0	 error1= 0		 A2= 0.981498	 solution2= 	-7.84018	 error2= -8.82168
t= 5	 x= 9.59596	 A1= 1	 solution1= 1.75	 error1= 0.75		 A2= 0.608932	 solution2= 	-5.99218	 error2= -6.60112
t= 5	 x= 10.6061	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 0.0918255	 solution2= 	-1.67151	 error2= -1.76333
t= 5	 x= 11.6162	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 0.00336569	 solution2= 	-0.18025	 error2= -0.183616
t= 5	 x= 12.6263	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 2.99847e-05	 solution2= 	-0.00600325	 error2= -0.00603324
t= 5	 x= 13.6364	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 6.49295e-08	 solution2= 	-5.22762e-05	 error2= -5.23412e-05
t= 5	 x= 14.6465	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 3.41743e-11	 solution2= 	-1.12633e-07	 error2= -1.12667e-07
t= 5	 x= 15.6566	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 4.37194e-15	 solution2= 	-5.92203e-11	 error2= -5.92246e-11
t= 5	 x= 16.6667	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 1.35945e-19	 solution2= 	-7.57459e-15	 error2= -7.57473e-15
t= 5	 x= 17.6768	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 1.02747e-24	 solution2= 	-2.35524e-19	 error2= -2.35525e-19
t= 5	 x= 18.6869	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 1.88751e-30	 solution2= 	-1.78008e-24	 error2= -1.78008e-24
t= 5	 x= 19.697	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 8.42802e-37	 solution2= 	-3.2701e-30	 error2= -3.27011e-30
t= 5	 x= 20.7071	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 9.14698e-44	 solution2= 	-1.46015e-36	 error2= -1.46015e-36
t= 5	 x= 21.7172	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 2.41294e-51	 solution2= 	-1.58471e-43	 error2= -1.58471e-43
t= 5	 x= 22.7273	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 1.54714e-59	 solution2= 	-4.18041e-51	 error2= -4.18041e-51
t= 5	 x= 23.7374	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 2.41118e-68	 solution2= 	-2.68042e-59	 error2= -2.68042e-59
t= 5	 x= 24.7475	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 9.13366e-78	 solution2= 	-4.17737e-68	 error2= -4.17737e-68
t= 5	 x= 25.7576	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 8.40961e-88	 solution2= 	-1.58241e-77	 error2= -1.58241e-77
t= 5	 x= 26.7677	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 1.88201e-98	 solution2= 	-1.45697e-87	 error2= -1.45697e-87
t= 5	 x= 27.7778	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 1.02373e-109	 solution2= 	-3.26059e-98	 error2= -3.26059e-98
t= 5	 x= 28.7879	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 1.35352e-121	 solution2= 	-1.77361e-109	 error2= -1.77361e-109
t= 5	 x= 29.798	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 4.34969e-134	 solution2= 	-2.34497e-121	 error2= -2.34497e-121
t= 5	 x= 30.8081	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 3.39756e-147	 solution2= 	-7.53583e-134	 error2= -7.53583e-134
t= 5	 x= 31.8182	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 6.4505e-161	 solution2= 	-5.88628e-147	 error2= -5.88628e-147
t= 5	 x= 32.8283	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 2.9767e-175	 solution2= 	-1.11755e-160	 error2= -1.11755e-160
t= 5	 x= 33.8384	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 3.33881e-190	 solution2= 	-5.15713e-175	 error2= -5.15713e-175
t= 5	 x= 34.8485	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 9.10258e-206	 solution2= 	-5.78449e-190	 error2= -5.78449e-190
t= 5	 x= 35.8586	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 6.03189e-222	 solution2= 	-1.57702e-205	 error2= -1.57702e-205
t= 5	 x= 36.8687	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 9.71533e-239	 solution2= 	-1.04502e-221	 error2= -1.04502e-221
t= 5	 x= 37.8788	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 3.80345e-256	 solution2= 	-1.68318e-238	 error2= -1.68318e-238
t= 5	 x= 38.8889	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 3.61921e-274	 solution2= 	-6.58948e-256	 error2= -6.58948e-256
t= 5	 x= 39.899	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 8.37077e-293	 solution2= 	-6.27028e-274	 error2= -6.27028e-274
t= 5	 x= 40.9091	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 4.70579e-312	 solution2= 	-1.45024e-292	 error2= -1.45024e-292
t= 5	 x= 41.9192	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 0	 solution2= 	-8.15278e-312	 error2= -8.15278e-312
t= 5	 x= 42.9293	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= 43.9394	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= 44.9495	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= 45.9596	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= 46.9697	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= 47.9798	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= 48.9899	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 0	 solution2= 	0	 error2= 0
t= 5	 x= 50	 A1= 1	 solution1= 0.0175	 error1= -0.9825		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -50	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -48.9899	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -47.9798	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -46.9697	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -45.9596	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -44.9495	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -43.9394	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -42.9293	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -41.9192	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -40.9091	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -39.899	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -38.8889	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -37.8788	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -36.8687	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -35.8586	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -34.8485	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -33.8384	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -32.8283	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -31.8182	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -30.8081	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -29.798	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -28.7879	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -27.7778	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -26.7677	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -25.7576	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -24.7475	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -23.7374	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -22.7273	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -21.7172	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -20.7071	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -19.697	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -18.6869	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
t= 10	 x= -17.6768	 A1= 0	 solution1= 0	 error1= 0		 A2= 0	 solution2= 	0	 error2= 0
