Time step, X values, Set 1 Solution, Set 1 Analytical, Set 1 Error, Set 2 Solution, Set 2 Analytical, Set 2 Error
5, -50,0,0,0,0,0,0
5, -48.9899,-0.0148018,0,-0.0148018,0.438675,0,0.438675
5, -47.9798,0.0130204,0,0.0130204,0.107288,0,0.107288
5, -46.9697,0.063665,0,0.063665,0.00767258,0,0.00767258
5, -45.9596,0.00322962,0,0.00322962,0.000186701,0,0.000186701
5, -44.9495,-0.13536,0,-0.13536,1.25844e-06,0,1.25844e-06
5, -43.9394,-0.174745,0,-0.174745,2.139e-09,0,2.139e-09
5, -42.9293,-0.0194069,0,-0.0194069,8.91946e-13,0,8.91946e-13
5, -41.9192,0.265734,0,0.265734,9.06092e-17,0,9.06092e-17
5, -40.9091,0.555609,0,0.555609,2.23853e-21,0,2.23853e-21
5, -39.899,0.770383,0,0.770383,1.3444e-26,0,1.3444e-26
5, -38.8889,0.897228,0,0.897228,1.96256e-32,0,1.96256e-32
5, -37.8788,0.959668,0,0.959668,6.96365e-39,0,6.96365e-39
5, -36.8687,0.985982,0,0.985982,6.00576e-46,0,6.00576e-46
5, -35.8586,0.99565,0,0.99565,1.25897e-53,0,1.25897e-53
5, -34.8485,0.998787,0,0.998787,6.41472e-62,0,6.41472e-62
5, -33.8384,0.999694,0,0.999694,7.94431e-71,0,7.94431e-71
5, -32.8283,0.99993,0,0.99993,2.39139e-80,0,2.39139e-80
5, -31.8182,0.999985,0,0.999985,1.74969e-90,0,1.74969e-90
5, -30.8081,0.999997,0,0.999997,3.11161e-101,0,3.11161e-101
5, -29.798,1,0,1,1.34501e-112,0,1.34501e-112
5, -28.7879,1,0,1,1.41314e-124,0,1.41314e-124
5, -27.7778,1,0,1,3.60875e-137,0,3.60875e-137
5, -26.7677,1,0,1,2.23999e-150,0,2.23999e-150
5, -25.7576,1,0,1,3.37948e-164,0,3.37948e-164
5, -24.7475,1,0,1,1.23928e-178,0,1.23928e-178
5, -23.7374,1,0,1,1.1046e-193,1.92343e-318,1.1046e-193
5, -22.7273,1,0,1,2.39308e-209,5.41816e-299,2.39308e-209
5, -21.7172,1,0,1,1.26016e-225,3.70973e-280,1.26016e-225
5, -20.7071,1,0,1,1.6129e-242,6.17375e-262,1.6129e-242
5, -19.697,1,0,1,5.01773e-260,2.4973e-244,-2.4973e-244
5, -18.6869,1,0,1,3.79422e-278,2.45533e-227,-2.45533e-227
5, -17.6768,1,0,1,6.97353e-297,5.86763e-211,-5.86763e-211
5, -16.6667,1,0,1,3.11529e-316,3.40826e-195,-3.40826e-195
5, -15.6566,1,0,1,0,4.81191e-180,-4.81191e-180
5, -14.6465,1,0,1,0,1.65127e-165,-1.65127e-165
5, -13.6364,1,0,1,0,1.37732e-151,-1.37732e-151
5, -12.6263,1,0,1,0,2.79234e-138,-2.79234e-138
5, -11.6162,1,0,1,0,1.37599e-125,-1.37599e-125
5, -10.6061,1,0,1,0,1.64809e-113,-1.64809e-113
5, -9.59596,1,0,1,0,4.798e-102,-4.798e-102
5, -8.58586,1,0,1,0,3.39512e-91,-3.39512e-91
5, -7.57576,1,0,1,0,5.83938e-81,-5.83938e-81
5, -6.56566,1,0,1,0,2.44115e-71,-2.44115e-71
5, -5.55556,1,0,1,0,2.48048e-62,-2.48048e-62
5, -4.54545,1,0,1,0,6.12626e-54,-6.12626e-54
5, -3.53535,1,0,1,0,3.67764e-46,-3.67764e-46
5, -2.52525,1,0,1,0,5.36611e-39,-5.36611e-39
5, -1.51515,1,0,1,0,1.90312e-32,-1.90312e-32
5, -0.505051,1,0,1,0,1.64054e-26,-1.64054e-26
5, 0.505051,1,0,1,0,3.43735e-21,-3.43735e-21
5, 1.51515,1,0,1,0,1.75056e-16,-1.75056e-16
5, 2.52525,1,0,1,0,2.16694e-12,-2.16694e-12
5, 3.53535,1,0,1,0,6.51974e-09,-6.51974e-09
5, 4.54545,1,0,1,0,4.76794e-06,-4.76794e-06
5, 5.55556,1,0,1,0,0.000847514,-0.000847514
5, 6.56566,1,0,1,0,0.0366167,-0.0366167
5, 7.57576,1,0,1,0,0.384526,-0.384526
5, 8.58586,1,0,1,0,0.981498,-0.981498
5, 9.59596,1,1,0,0,0.608932,-0.608932
5, 10.6061,1,1,0,0,0.0918255,-0.0918255
5, 11.6162,1,1,0,0,0.00336569,-0.00336569
5, 12.6263,1,1,0,0,2.99847e-05,-2.99847e-05
5, 13.6364,1,1,0,0,6.49295e-08,-6.49295e-08
5, 14.6465,1,1,0,0,3.41743e-11,-3.41743e-11
5, 15.6566,1,1,0,0,4.37194e-15,-4.37194e-15
5, 16.6667,1,1,0,0,1.35945e-19,-1.35945e-19
5, 17.6768,1,1,0,0,1.02747e-24,-1.02747e-24
5, 18.6869,1,1,0,0,1.88751e-30,-1.88751e-30
5, 19.697,1,1,0,0,8.42802e-37,-8.42802e-37
5, 20.7071,1,1,0,0,9.14698e-44,-9.14698e-44
5, 21.7172,1,1,0,0,2.41294e-51,-2.41294e-51
5, 22.7273,1,1,0,0,1.54714e-59,-1.54714e-59
5, 23.7374,1,1,0,0,2.41118e-68,-2.41118e-68
5, 24.7475,1,1,0,0,9.13366e-78,-9.13366e-78
