Time step, X values, Set 1 Solution, Set 1 Analytical, Set 1 Error, Set 2 Solution, Set 2 Analytical, Set 2 Error
5, -50,0,0,0,0,0,0
5, -49.7494,-1.15183e-10,0,-1.15183e-10,0.301244,0,0.301244
5, -49.4987,1.07321e-09,0,1.07321e-09,0.926986,0,0.926986
5, -49.2481,1.11357e-09,0,1.11357e-09,0.791958,0,0.791958
5, -48.9975,-1.09999e-08,0,-1.09999e-08,0.620545,0,0.620545
5, -48.7469,-1.18244e-08,0,-1.18244e-08,0.446003,0,0.446003
5, -48.4962,7.27999e-08,0,7.27999e-08,0.294059,0,0.294059
5, -48.2456,1.10609e-07,0,1.10609e-07,0.177867,0,0.177867
5, -47.995,-3.55971e-07,0,-3.55971e-07,0.0987063,0,0.0987063
5, -47.7444,-8.3057e-07,0,-8.3057e-07,0.0502572,0,0.0502572
5, -47.4937,1.16807e-06,0,1.16807e-06,0.0234783,0,0.0234783
5, -47.2431,4.87318e-06,0,4.87318e-06,0.0100637,0,0.0100637
5, -46.9925,-8.98245e-07,0,-8.98245e-07,0.00395792,0,0.00395792
5, -46.7419,-2.14451e-05,0,-2.14451e-05,0.00142823,0,0.00142823
5, -46.4912,-1.81491e-05,0,-1.81491e-05,0.000472867,0,0.000472867
5, -46.2406,6.23107e-05,0,6.23107e-05,0.000143644,0,0.000143644
5, -45.99,0.000136717,0,0.000136717,4.00337e-05,0,4.00337e-05
5, -45.7393,-5.2623e-05,0,-5.2623e-05,1.02364e-05,0,1.02364e-05
5, -45.4887,-0.00051737,0,-0.00051737,2.40122e-06,0,2.40122e-06
5, -45.2381,-0.000509273,0,-0.000509273,5.16736e-07,0,5.16736e-07
5, -44.9875,0.000864425,0,0.000864425,1.02009e-07,0,1.02009e-07
5, -44.7368,0.00268196,0,0.00268196,1.84727e-08,0,1.84727e-08
5, -44.4862,0.00155148,0,0.00155148,3.06847e-09,0,3.06847e-09
5, -44.2356,-0.00467335,0,-0.00467335,4.67517e-10,0,4.67517e-10
5, -43.985,-0.0111755,0,-0.0111755,6.53343e-11,0,6.53343e-11
5, -43.7343,-0.00684791,0,-0.00684791,8.37407e-12,0,8.37407e-12
5, -43.4837,0.0140958,0,0.0140958,9.8439e-13,0,9.8439e-13
5, -43.2331,0.0389389,0,0.0389389,1.06125e-13,0,1.06125e-13
5, -42.9825,0.0390151,0,0.0390151,1.04924e-14,0,1.04924e-14
5, -42.7318,-0.00695049,0,-0.00695049,9.51304e-16,0,9.51304e-16
5, -42.4812,-0.0867869,0,-0.0867869,7.90937e-17,0,7.90937e-17
5, -42.2306,-0.152052,0,-0.152052,6.03015e-18,0,6.03015e-18
5, -41.9799,-0.145283,0,-0.145283,4.21565e-19,0,4.21565e-19
5, -41.7293,-0.036668,0,-0.036668,2.70234e-20,0,2.70234e-20
5, -41.4787,0.158353,0,0.158353,1.58834e-21,0,1.58834e-21
5, -41.2281,0.391212,0,0.391212,8.55982e-23,0,8.55982e-23
5, -40.9774,0.608812,0,0.608812,4.22954e-24,0,4.22954e-24
5, -40.7268,0.777053,0,0.777053,1.9161e-25,0,1.9161e-25
5, -40.4762,0.887472,0,0.887472,7.95857e-27,0,7.95857e-27
5, -40.2256,0.949805,0,0.949805,3.03062e-28,0,3.03062e-28
5, -39.9749,0.980273,0,0.980273,1.05804e-29,0,1.05804e-29
5, -39.7243,0.993198,0,0.993198,3.38642e-31,0,3.38642e-31
5, -39.4737,0.997955,0,0.997955,9.93662e-33,0,9.93662e-33
5, -39.2231,0.999468,0,0.999468,2.67295e-34,0,2.67295e-34
5, -38.9724,0.999881,0,0.999881,6.59162e-36,0,6.59162e-36
5, -38.7218,0.999978,0,0.999978,1.49017e-37,0,1.49017e-37
5, -38.4712,0.999997,0,0.999997,3.0883e-39,0,3.0883e-39
5, -38.2206,1,0,1,5.86727e-41,0,5.86727e-41
5, -37.9699,1,0,1,1.02184e-42,0,1.02184e-42
5, -37.7193,1,0,1,1.63138e-44,0,1.63138e-44
5, -37.4687,1,0,1,2.38754e-46,0,2.38754e-46
5, -37.218,1,0,1,3.20307e-48,0,3.20307e-48
5, -36.9674,1,0,1,3.93911e-50,0,3.93911e-50
5, -36.7168,1,0,1,4.44061e-52,0,4.44061e-52
5, -36.4662,1,0,1,4.5888e-54,0,4.5888e-54
5, -36.2155,1,0,1,4.34674e-56,0,4.34674e-56
5, -35.9649,1,0,1,3.77429e-58,0,3.77429e-58
5, -35.7143,1,0,1,3.00408e-60,0,3.00408e-60
5, -35.4637,1,0,1,2.19175e-62,0,2.19175e-62
5, -35.213,1,0,1,1.46579e-64,0,1.46579e-64
5, -34.9624,1,0,1,8.98567e-67,0,8.98567e-67
